ServiceAgreement,IntervalStart,IntervalEnd,Quantity,UnitOfMeasure
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-00:00:00,2022-01-01-00:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-00:15:00,2022-01-01-00:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-00:30:00,2022-01-01-00:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-00:45:00,2022-01-01-01:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-01:00:00,2022-01-01-01:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-01:15:00,2022-01-01-01:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-01:30:00,2022-01-01-01:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-01:45:00,2022-01-01-02:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-02:00:00,2022-01-01-02:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-02:15:00,2022-01-01-02:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-02:30:00,2022-01-01-02:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-02:45:00,2022-01-01-03:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-03:00:00,2022-01-01-03:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-03:15:00,2022-01-01-03:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-03:30:00,2022-01-01-03:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-03:45:00,2022-01-01-04:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-04:00:00,2022-01-01-04:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-04:15:00,2022-01-01-04:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-04:30:00,2022-01-01-04:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-04:45:00,2022-01-01-05:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-05:00:00,2022-01-01-05:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-05:15:00,2022-01-01-05:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-05:30:00,2022-01-01-05:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-05:45:00,2022-01-01-06:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-06:00:00,2022-01-01-06:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-06:15:00,2022-01-01-06:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-06:30:00,2022-01-01-06:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-06:45:00,2022-01-01-07:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-07:00:00,2022-01-01-07:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-07:15:00,2022-01-01-07:30:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-07:30:00,2022-01-01-07:45:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-07:45:00,2022-01-01-08:00:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-08:00:00,2022-01-01-08:15:00,0.0,kWh
"ACCOUNT_OWNER / Residential Net Metering / NGEN / 06-04-2021 12:00:00AM / Active",2022-01-01-08:15:00,2022-01-01-08:30:00,0.0,kWh
